epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,381.157,0.54552,0.7474,0.84545,0.82149,0.85,0.87638,0.79565,0.45344,0.80501,0.82123,0.000362428,0.000362428,0.000362428
157,383.528,0.49634,0.74202,0.83516,0.82149,0.85,0.87638,0.79565,0.45344,0.80501,0.82123,0.000360973,0.000360973,0.000360973
158,385.938,0.48908,0.73083,0.82621,0.81509,0.85,0.89533,0.80645,0.44925,0.7779,0.82241,0.000359518,0.000359518,0.000359518
159,388.225,0.564,0.84415,0.84418,0.81509,0.85,0.89533,0.80645,0.44925,0.7779,0.82241,0.000358063,0.000358063,0.000358063
160,390.622,0.49417,0.68421,0.84498,0.82992,0.89542,0.995,0.89894,0.44933,0.7252,0.82168,0.000356607,0.000356607,0.000356607
161,393.057,0.49658,0.69422,0.82213,0.82992,0.89542,0.995,0.89894,0.44933,0.7252,0.82168,0.000355152,0.000355152,0.000355152
162,395.623,0.48409,0.69119,0.8309,0.68434,1,0.995,0.89576,0.45537,0.69612,0.82132,0.000353697,0.000353697,0.000353697
163,398.073,0.50619,0.7383,0.80751,0.68434,1,0.995,0.89576,0.45537,0.69612,0.82132,0.000352241,0.000352241,0.000352241
164,400.566,0.48768,0.68235,0.83003,0.72797,1,0.995,0.9067,0.45922,0.67206,0.82076,0.000350786,0.000350786,0.000350786
165,403.025,0.46748,0.69258,0.83925,0.72797,1,0.995,0.9067,0.45922,0.67206,0.82076,0.000349331,0.000349331,0.000349331
166,405.626,0.51897,0.75047,0.86252,0.70571,1,0.995,0.92208,0.46058,0.70418,0.82398,0.000347876,0.000347876,0.000347876
167,408.135,0.54316,0.69789,0.8231,0.70571,1,0.995,0.92208,0.46058,0.70418,0.82398,0.00034642,0.00034642,0.00034642
168,410.628,0.45247,0.71513,0.83343,0.73918,0.89617,0.92867,0.84912,0.46813,0.76007,0.8255,0.000344965,0.000344965,0.000344965
169,413.053,0.52704,0.74852,0.87451,0.73918,0.89617,0.92867,0.84912,0.46813,0.76007,0.8255,0.00034351,0.00034351,0.00034351
170,415.583,0.49416,0.70286,0.84561,0.75285,0.89239,0.9154,0.83353,0.46454,0.78405,0.82408,0.000342054,0.000342054,0.000342054
171,418.08,0.48106,0.70751,0.84935,0.75285,0.89239,0.9154,0.83353,0.46454,0.78405,0.82408,0.000340599,0.000340599,0.000340599
172,420.419,0.50342,0.76181,0.84012,0.78892,0.89415,0.91208,0.83089,0.47061,0.77939,0.82449,0.000339144,0.000339144,0.000339144
173,422.796,0.4955,0.70134,0.85018,0.78892,0.89415,0.91208,0.83089,0.47061,0.77939,0.82449,0.000337688,0.000337688,0.000337688
174,425.175,0.48638,0.66967,0.8322,0.81315,0.89065,0.91208,0.81854,0.4758,0.77105,0.82429,0.000336233,0.000336233,0.000336233
